"rekisterinumero","tarkoitus","hetu","etunimi","sukunimi","otettu","palautettu"
"FNK-129","Työmaakäynti","010195-1111","Jaakko","Juonikas","2025-10-20 15:23:00","2025-10-21 08:03:00"
"FPB-343","Asiakaskäynti","121202A1234","Jaana","Jalkanen","2025-10-20 15:21:00","2025-10-20 16:00:00"
"FNK-129","Työmaakäynti","020297-1212","Selma","Salminen","2025-01-13 09:41:00","2025-01-13 09:52:00"
"FNK-129","KOS- tai OPSO-käynti","121202A1234","Jaana","Jalkanen","2025-01-10 11:22:00","2025-01-10 11:26:00"
"FNK-129","Materiaalin hankinta","010195-1111","Jaakko","Juonikas","2025-01-10 11:08:00","2025-01-10 11:13:00"
"FNK-129","Materiaalin hankinta","111111A2222","Jonne","Jantteri","2025-01-09 12:44:00","2025-01-09 12:50:00"
"FNK-129","Materiaalin hankinta","121202A1234","Jaana","Jalkanen","2025-01-09 10:13:00","2025-01-09 10:26:00"
"FNK-129","Työmaakäynti","020297-1212","Selma","Salminen","2025-01-08 09:36:00","2025-01-08 09:48:00"
"FNK-129","Materiaalin hankinta","010195-1111","Jaakko","Juonikas","2025-01-08 09:23:00","2025-01-08 09:33:00"
"FNK-129","Asiakaskäynti","010195-1111","Jaakko","Juonikas","2025-01-07 09:42:00","2025-01-07 10:17:00"
